timestamp,attention,meditation,delta,theta,alpha,beta,gamma,label
1748861180.630915,51,48,4197,3202,1971,3230,6281,concentrado
1748861181.6343987,53,70,694971,189368,105311,21995,25431,concentrado
1748861182.6422033,40,53,1021777,594112,34199,9881,25739,concentrado
1748861183.7013452,30,63,766666,86391,21694,4201,8489,concentrado
1748861184.6381557,27,60,513296,79685,19817,25957,35450,concentrado
1748861185.667146,40,53,397374,6953,5365,8090,2103,concentrado
1748861186.6338997,48,87,140721,537508,191134,75901,12565,concentrado
1748861187.6292229,57,87,720379,117936,34961,38652,21500,concentrado
1748861188.626335,51,96,198624,55084,24208,10775,5427,concentrado
1748861189.626339,40,87,119588,38589,9413,7170,2573,concentrado
1748861190.6531818,60,88,2395,6099,5035,8862,1621,concentrado
1748861191.6468315,63,96,173349,16027,10065,10767,3155,concentrado
1748861192.6707325,77,100,8923,1491,3243,6260,1886,concentrado
1748861193.6379173,83,100,7352,5600,5054,5546,2069,concentrado
1748861194.6312504,75,100,3363,8888,4677,6755,3472,concentrado
1748861195.6284983,78,100,4469,2940,11850,4341,1682,concentrado
1748861196.6622794,75,100,5197,5435,7817,4279,2564,concentrado
1748861197.6293726,80,100,2393,5982,6542,7001,1866,concentrado
1748861198.6554062,81,94,1708,5086,4498,4751,1283,concentrado
1748861199.6529334,80,90,4239,5138,10261,4747,2560,concentrado
1748861200.6539187,80,90,8146,3945,7236,5182,1250,concentrado
1748861201.625672,80,100,91978,5487,28702,17636,10379,concentrado
1748861202.650815,74,87,78448,14591,2786,5565,1510,concentrado
1748861203.6484714,81,69,1667,4125,2467,5081,1867,concentrado
1748861204.6481173,84,70,1496,2961,9670,6717,1412,concentrado
1748861205.6455545,77,66,3410,7039,10099,3218,2449,concentrado
1748861206.6427832,81,90,116702,3507,8001,6290,1089,concentrado
1748861207.6361837,80,100,2309,3817,5398,3786,1651,concentrado
1748861208.635163,78,90,5167,9435,6174,8238,1544,concentrado
1748861209.6372545,87,80,4186,3563,4656,7171,741,concentrado
1748861210.6354027,77,83,6894,10552,14425,4586,2379,concentrado
1748861211.6335883,75,80,4939,6847,6606,4465,998,concentrado
1748861212.6361675,74,83,2016,2575,3103,3742,2401,concentrado
1748861213.633039,66,88,1147,5980,8522,6516,3575,concentrado
1748861214.6597917,87,66,17770,5497,3453,13232,1687,concentrado
1748861215.6574106,84,60,10580,6344,3484,4605,2707,concentrado
1748861216.65372,84,57,111261,5735,4814,5926,1404,concentrado
1748861217.6473374,81,50,69734,38618,20714,17428,6415,concentrado
1748861218.6440518,74,67,4592,2280,3542,2174,1642,concentrado
1748861219.645328,81,75,10462,3722,5107,5767,1236,concentrado
1748861220.6400175,81,78,96840,10798,9914,6730,1909,concentrado
1748861221.638194,94,91,5018,856,6633,5232,2020,concentrado
1748861222.6363285,97,84,396,2399,2879,3262,1165,concentrado
1748861223.6326985,90,94,4352,3072,11539,8637,1222,concentrado
1748861224.6291049,87,90,88504,6670,5592,7430,1843,concentrado
1748861225.6522286,84,61,4576,6134,1391,4643,1534,concentrado
1748861226.6523194,80,64,1336,5753,6984,4652,1864,concentrado
1748861227.655053,80,60,4797,5981,5878,4205,1537,concentrado
1748861228.6563675,90,66,7459,3883,6839,6341,1907,concentrado
1748861229.6526926,80,87,7706,12068,9646,5149,1701,concentrado
1748861230.6516232,80,90,4415,4154,8390,6189,3610,concentrado
1748861232.64855,80,91,2890,2588,9688,6330,1449,concentrado
1748861233.6483152,87,81,1163,3517,2331,6501,1216,concentrado
1748861234.6513283,83,74,5747,6016,3836,2904,2643,concentrado
1748861235.648992,88,66,2403,1430,1340,2743,2064,concentrado
1748861236.6490283,83,57,5051,4174,4842,4336,1073,concentrado
1748861237.6328256,81,66,3808,5259,5493,5118,1497,concentrado
1748861238.6293757,80,67,4770,5373,5549,6012,2115,concentrado
1748861239.6326947,75,80,6112,3162,5268,4138,2283,concentrado
1748861240.6645253,74,77,47931,47750,44183,45870,8789,concentrado
1748861276.444338,0,0,1326,900,922,927,1005,concentrado
1748861277.3157566,0,0,39639,3847,1129,812,1726,concentrado
1748861278.3467584,30,30,922164,1290562,128966,55676,25920,concentrado
1748861279.3450387,35,50,711774,27822,40765,5422,12018,concentrado
1748861280.3429518,43,51,36361,61923,19186,15134,4829,concentrado
1748861281.3404455,57,40,47288,19734,1879,8364,2610,concentrado
1748861282.3381603,69,54,49786,40635,16927,11958,1371,concentrado
1748861283.34006,81,48,445,1633,2841,2472,2166,concentrado
1748861284.335607,80,64,430,4748,10569,3561,1174,concentrado
1748861285.3613894,78,91,1273,6115,7184,4886,1975,concentrado
